"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"393","Massimiliana Landini Aleotti & family ",79,"Healthcare ",2.5,"2020 - 2021",-3.7,"2021 - 2022"
"394","Jason Chang ",77,"Technology ",2.5,"2020 - 2021",-0.8,"2015 - 2016"
"395","Guo Guangchang ",55,"Diversified ",2.5,"2020 - 2021",-2.61,"2018 - 2019"
"396","Lee Yin Yee ",70,"Manufacturing ",2.5,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"397","Meg Whitman ",65,"Technology ",2.5,"2020 - 2021",-2.4,"2021 - 2022"
"398","Dulce Pugliese de Godoy Bueno ",74,"Healthcare ",2.5,"2020 - 2021",-4.3,"2021 - 2022"
"399","Andreas von Bechtolsheim & family ",66,"Technology ",2.5,"2020 - 2021",0,"2015 - 2016"
"400","Robert & Philip Ng ",64,"Real Estate ",2.4,"2020 - 2021",-2,"2015 - 2016"
"401","Pauline MacMillan Keinath ",88,"Food & Beverage ",2.4,"2021 - 2022",-3.27,"2018 - 2019"
"402","Lin Shu-hong ",93,"Manufacturing ",2.4,"2021 - 2022",0,"2015 - 2016"
"403","Carrie Perrodo & family ",71,"Energy ",2.4,"2020 - 2021",0,"2015 - 2016"
"404","Joe Mansueto ",65,"Finance & Investments ",2.4,"2020 - 2021",-0.1,"2015 - 2016"
"405","Xue Hua ",52,"Manufacturing ",2.4,"2020 - 2021",-0.7,"2021 - 2022"
"406","Pan Laican ",64,"Food & Beverage ",2.4,"2020 - 2021",-1.2,"2021 - 2022"
"407","Karel Komarek ",53,"Gambling & Casinos ",2.4,"2020 - 2021",-0.0999999999999999,"2015 - 2016"
"408","Dannine Avara ",58,"Energy ",2.4,"2020 - 2021",-3,"2019 - 2020"
"409","Scott Duncan ",39,"Energy ",2.4,"2020 - 2021",-2.98,"2019 - 2020"
"410","Milane Frantz ",52,"Energy ",2.4,"2020 - 2021",-2.1,"2015 - 2016"
"411","Randa Duncan Williams ",60,"Energy ",2.4,"2020 - 2021",-3,"2019 - 2020"
"412","Edward Johnson, IV. ",57,"Finance & Investments ",2.4,"2020 - 2021",0,"2015 - 2016"
"413","Rakesh Jhunjhunwala ",61,"Finance & Investments ",2.4,"2020 - 2021",-0.3,"2015 - 2016"
"414","Frits Goldschmeding ",88,"Service ",2.4,"2020 - 2021",-0.94,"2018 - 2019"
"415","Edward Roski, Jr. ",83,"Real Estate ",2.4,"2020 - 2021",-0.2,"2015 - 2016"
"416","Elizabeth Johnson ",58,"Finance & Investments ",2.4,"2020 - 2021",-1.58,"2019 - 2020"
"417","Leonid Fedun ",66,"Energy ",2.4,"2016 - 2017",-1.4,"2015 - 2016"
"418","Qiu Jianping & family ",60,"Manufacturing ",2.4,"2020 - 2021",-1.5,"2021 - 2022"
"419","Patrizio Bertelli ",76,"Fashion & Retail ",2.4,"2020 - 2021",-1.8,"2015 - 2016"
"420","Miuccia Prada ",72,"Fashion & Retail ",2.4,"2020 - 2021",-1.8,"2015 - 2016"
"421","Julio Ponce Lerou ",76,"Metals & Mining ",2.4,"2020 - 2021",-0.5,"2021 - 2022"
"422","Li Wa ",56,"Real Estate ",2.4,"2020 - 2021",-3.9,"2021 - 2022"
"423","Steven Spielberg ",75,"Media & Entertainment ",2.35,"2018 - 2019",-2.35,"2019 - 2020"
"424","Ray Dalio ",72,"Finance & Investments ",2.3,"2020 - 2021",-0.800000000000001,"2018 - 2019"
"425","Giorgio Armani ",87,"Fashion & Retail ",2.3,"2017 - 2018",-2.79,"2018 - 2019"
"426","Michael Moritz ",67,"Technology ",2.3,"2020 - 2021",0,"2015 - 2016"
"427","Jean-Michel Besnier ",54,"Food & Beverage ",2.3,"2020 - 2021",1.4,"2018 - 2019"
"428","Marie Besnier Beauvalot ",41,"Food & Beverage ",2.3,"2020 - 2021",1.4,"2018 - 2019"
"429","George Roberts ",78,"Finance & Investments ",2.3,"2020 - 2021",-1.1,"2015 - 2016"
"430","Silvio Berlusconi & family ",85,"Diversified ",2.3,"2020 - 2021",-0.5,"2021 - 2022"
"431","Douglas Leone ",64,"Finance & Investments ",2.3,"2020 - 2021",0.6,"2018 - 2019"
"432","Jonathan Gray ",52,"Finance & Investments ",2.3,"2021 - 2022",-0.5,"2015 - 2016"
"433","Ray Lee Hunt ",78,"Energy ",2.3,"2021 - 2022",-0.5,"2016 - 2017"
"434","Wu Jianshu ",58,"Automotive ",2.3,"2021 - 2022",-0.6,"2017 - 2018"
"435","Don Hankey ",78,"Finance & Investments ",2.3,"2021 - 2022",0,"2015 - 2016"
