"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"1532","Wang Junmin ",53,"Healthcare ",0.4,"2020 - 2021",-0.5,"2015 - 2016"
"1533","Gabriel Escarrer ",87,"Service ",0.4,"2016 - 2017",-0.3,"2015 - 2016"
"1534","Hong Seok-joh ",69,"Fashion & Retail ",0.4,"2016 - 2017",-0.3,"2017 - 2018"
"1535","Chey Ki-won ",57,"Technology ",0.4,"2017 - 2018",-0.2,"2021 - 2022"
"1536","Mark Cuban ",63,"Media & Entertainment ",0.38,"2018 - 2019",0.100000000000001,"2020 - 2021"
"1537","Jian Jun ",58,"Healthcare ",0.300000000000001,"2021 - 2022",0,"2015 - 2016"
"1538","Juan Roig ",72,"Fashion & Retail ",0.3,"2020 - 2021",-0.6,"2017 - 2018"
"1539","Winifred J. Marquart ",62,"Manufacturing ",0.3,"2020 - 2021",-0.3,"2021 - 2022"
"1540","Richard Peery ",83,"Real Estate ",0.3,"2020 - 2021",-0.0999999999999996,"2015 - 2016"
"1541","Abilio dos Santos Diniz ",85,"Fashion & Retail ",0.3,"2020 - 2021",-1,"2015 - 2016"
"1542","Jim Coulter ",62,"Finance & Investments ",0.3,"2021 - 2022",-0.3,"2020 - 2021"
"1543","Daniel Pritzker ",62,"Finance & Investments ",0.3,"2020 - 2021",-0.2,"2015 - 2016"
"1544","Hortensia Herrero ",71,"Fashion & Retail ",0.3,"2020 - 2021",-0.4,"2017 - 2018"
"1545","Lindsay Fox ",84,"Logistics ",0.3,"2016 - 2017",-0.2,"2021 - 2022"
"1546","Randal J. Kirk ",68,"Healthcare ",0.3,"2020 - 2021",-0.6,"2021 - 2022"
"1547","Gavril Yushvaev ",64,"Finance & Investments ",0.3,"2020 - 2021",-0.8,"2021 - 2022"
"1548","Eddy Kusnadi Sariaatmadja ",68,"Media & Entertainment ",0.3,"2015 - 2016",-0.2,"2016 - 2017"
"1549","Thor Bjorgolfsson ",55,"Diversified ",0.3,"2015 - 2016",0.2,"2016 - 2017"
"1550","Julio Bozano ",86,"Finance & Investments ",0.3,"2020 - 2021",-0.1,"2021 - 2022"
"1551","Sylvia Stroeher ",66,"Fashion & Retail ",0.3,"2017 - 2018",0,"2015 - 2016"
"1552","Wichai Thongtang ",75,"Finance & Investments ",0.3,"2020 - 2021",-0.1,"2015 - 2016"
"1553","Mario Gabelli ",80,"Finance & Investments ",0.3,"2020 - 2021",-0.3,"2015 - 2016"
"1554","Paul Foster ",64,"Energy ",0.3,"2020 - 2021",-0.3,"2015 - 2016"
"1555","Stephen Jarislowsky ",96,"Finance & Investments ",0.3,"2017 - 2018",-0.4,"2015 - 2016"
"1556","George Marcus ",80,"Real Estate ",0.3,"2020 - 2021",0,"2015 - 2016"
"1557","Farkhad Akhmedov ",66,"Energy ",0.3,"2021 - 2022",-0.0999999999999999,"2016 - 2017"
"1558","Zadik Bino & family ",78,"Diversified ",0.3,"2021 - 2022",0,"2015 - 2016"
"1559","Saket Burman ",45,"Food & Beverage ",0.3,"2017 - 2018",0,"2015 - 2016"
"1560","Keith Dunleavy & family ",52,"Healthcare ",0.3,"2021 - 2022",0,"2015 - 2016"
"1561","Rolf Gerling ",67,"Finance & Investments ",0.3,"2020 - 2021",-0.2,"2016 - 2017"
"1562","Michael Jordan ",59,"Sports ",0.3,"2017 - 2018",-0.5,"2020 - 2021"
"1563","Mario Moretti Polegato & family ",69,"Fashion & Retail ",0.3,"2020 - 2021",0,"2015 - 2016"
"1564","Alberto Palatchi ",72,"Fashion & Retail ",0.3,"2020 - 2021",0,"2015 - 2016"
"1565","Shao Qinxiang ",67,"Manufacturing ",0.3,"2020 - 2021",0,"2015 - 2016"
"1566","Basudeo Singh ",81,"Healthcare ",0.3,"2020 - 2021",0,"2015 - 2016"
"1567","Edward Stack ",67,"Fashion & Retail ",0.3,"2021 - 2022",0,"2015 - 2016"
"1568","Radha Vembu ",49,"Technology ",0.3,"2020 - 2021",0,"2015 - 2016"
"1569","Zheng Hong & family ",71,"Technology ",0.3,"2021 - 2022",0,"2015 - 2016"
"1570","Vasily Anisimov ",70,"Metals & Mining ",0.3,"2020 - 2021",-0.8,"2015 - 2016"
"1571","Amit Burman ",52,"Food & Beverage ",0.3,"2020 - 2021",0,"2015 - 2016"
"1572","Asok Kumar Hiranandani ",67,"Real Estate ",0.3,"2017 - 2018",-0.1,"2016 - 2017"
"1573","Catherine Lozick ",76,"Manufacturing ",0.3,"2017 - 2018",-0.1,"2015 - 2016"
"1574","Gerald Schwartz ",80,"Finance & Investments ",0.3,"2020 - 2021",0,"2015 - 2016"
"1575","Zhong Sheng Jian ",64,"Real Estate ",0.3,"2016 - 2017",0.1,"2021 - 2022"
"1576","Lesley Bamberger ",56,"Real Estate ",0.3,"2017 - 2018",-0.1,"2021 - 2022"
"1577","Mathias Doepfner ",59,"Media & Entertainment ",0.3,"2021 - 2022",0,"2015 - 2016"
"1578","Marek Dospiva ",52,"Finance & Investments ",0.3,"2021 - 2022",0,"2015 - 2016"
"1579","Fritz Draexlmaier ",64,"Automotive ",0.3,"2017 - 2018",0,"2016 - 2017"
"1580","Clement Fayat & family ",90,"Construction & Engineering ",0.3,"2021 - 2022",-0.4,"2020 - 2021"
"1581","Niranjan Hiranandani ",72,"Real Estate ",0.3,"2017 - 2018",-0.1,"2015 - 2016"
"1582","Joe Lacob ",66,"Sports ",0.3,"2021 - 2022",0,"2015 - 2016"
"1583","Thomas von Koch ",56,"Finance & Investments ",0.3,"2021 - 2022",0,"2015 - 2016"
"1584","Syed Mokhtar AlBukhary ",70,"Construction & Engineering ",0.3,"2016 - 2017",-1.4,"2015 - 2016"
"1585","Fan Minhua ",60,"Healthcare ",0.3,"2020 - 2021",0,"2015 - 2016"
"1586","Sebastian Kulczyk ",41,"Finance & Investments ",0.3,"2020 - 2021",-0.2,"2021 - 2022"
"1587","Antonio Percassi ",68,"Diversified ",0.3,"2020 - 2021",0,"2015 - 2016"
"1588","Mark Pincus ",56,"Technology ",0.3,"2017 - 2018",-0.1,"2021 - 2022"
"1589","Subhash Runwal ",78,"Real Estate ",0.3,"2020 - 2021",-0.2,"2021 - 2022"
"1590","John Van Lieshout ",76,"Real Estate ",0.3,"2020 - 2021",-0.1,"2021 - 2022"
"1591","Angela Bennett ",78,"Metals & Mining ",0.3,"2017 - 2018",-0.2,"2020 - 2021"
"1592","Oleg Boyko ",57,"Diversified ",0.3,"2017 - 2018",-0.1,"2015 - 2016"
"1593","Hang Hong ",54,"Manufacturing ",0.3,"2021 - 2022",0,"2015 - 2016"
"1594","Raymond Kwok ",68,"Real Estate ",0.3,"2020 - 2021",-11.1,"2019 - 2020"
"1595","Miao Yongjun ",54,"Healthcare ",0.3,"2020 - 2021",-0.7,"2021 - 2022"
"1596","Terry Snow ",78,"Real Estate ",0.3,"2020 - 2021",0,"2015 - 2016"
"1597","Marco Squinzi ",50,"Construction & Engineering ",0.3,"2021 - 2022",0,"2015 - 2016"
"1598","Veronica Squinzi ",50,"Construction & Engineering ",0.3,"2021 - 2022",0,"2015 - 2016"
"1599","Manny Stul ",72,"Manufacturing ",0.3,"2021 - 2022",0,"2015 - 2016"
"1600","Xu Jin ",57,"Food & Beverage ",0.3,"2021 - 2022",0,"2015 - 2016"
"1601","Richard Hayne ",74,"Fashion & Retail ",0.3,"2017 - 2018",-0.4,"2015 - 2016"
"1602","David Penaloza Alanis ",48,"Construction & Engineering ",0.3,"2015 - 2016",-0.3,"2016 - 2017"
"1603","Nobutada Saji ",76,"Food & Beverage ",0.3,"2017 - 2018",-0.1,"2021 - 2022"
"1604","Alexander Tedja ",76,"Real Estate ",0.3,"2017 - 2018",-0.2,"2021 - 2022"
"1605","Xiu Laigui ",67,"Healthcare ",0.3,"2020 - 2021",-0.4,"2021 - 2022"
"1606","Turgay Ciner ",66,"Diversified ",0.3,"2016 - 2017",-0.2,"2021 - 2022"
"1607","Allan Wong ",72,"Manufacturing ",0.3,"2017 - 2018",-0.5,"2015 - 2016"
"1608","Yu Rong ",50,"Healthcare ",0.3,"2020 - 2021",-0.4,"2021 - 2022"
"1609","John Grayken ",65,"Finance & Investments ",0.3,"2016 - 2017",-1.1,"2021 - 2022"
"1610","Julian Robertson, Jr. ",89,"Finance & Investments ",0.3,"2017 - 2018",0.0999999999999996,"2020 - 2021"
"1611","Stéphane Bancel ",49,"Healthcare ",0.3,"2021 - 2022",0,"2015 - 2016"
"1612","Walter P.J. Droege ",69,"Finance & Investments ",0.3,"2021 - 2022",-9,"2020 - 2021"
"1613","Sergey Dmitriev ",56,"Technology ",0.3,"2021 - 2022",0,"2015 - 2016"
"1614","Shaul Shani ",67,"Telecom ",0.3,"2021 - 2022",0,"2020 - 2021"
"1615","Amos Hostetter, Jr. ",85,"Media & Entertainment ",0.3,"2020 - 2021",-0.1,"2015 - 2016"
"1616","William Wrigley, Jr. ",58,"Food & Beverage ",0.3,"2016 - 2017",-0.1,"2015 - 2016"
"1617","Bernard Ecclestone & family ",91,"Sports ",0.3,"2020 - 2021",-0.4,"2021 - 2022"
"1618","Tsai Ming-kai ",71,"Technology ",0.3,"2021 - 2022",0,"2015 - 2016"
"1619","James Jannard ",72,"Fashion & Retail ",0.3,"2015 - 2016",-0.0999999999999996,"2020 - 2021"
"1620","Philip Niarchos ",68,"Diversified ",0.3,"2017 - 2018",0,"2015 - 2016"
"1621","Kavitark Ram Shriram ",65,"Technology ",0.3,"2020 - 2021",-0.0999999999999999,"2015 - 2016"
"1622","Abdulla Al Futtaim & family ",64,"Automotive ",0.3,"2021 - 2022",0,"2015 - 2016"
"1623","Timur Turlov ",34,"Finance & Investments ",0.3,"2021 - 2022",0,"2015 - 2016"
"1624","Kenneth Feld & family ",73,"Media & Entertainment ",0.3,"2021 - 2022",0,"2015 - 2016"
"1625","Jeffrey Gundlach ",63,"Finance & Investments ",0.3,"2015 - 2016",0,"2021 - 2022"
"1626","Dermot Desmond ",71,"Finance & Investments ",0.3,"2017 - 2018",-0.1,"2021 - 2022"
"1627","Shmuel Harlap ",77,"Automotive ",0.3,"2020 - 2021",0,"2015 - 2016"
"1628","Chen Kaichen ",64,"Manufacturing ",0.3,"2021 - 2022",0,"2015 - 2016"
"1629","Sze Man Bok ",72,"Manufacturing ",0.3,"2017 - 2018",-0.7,"2015 - 2016"
"1630","David Zalik ",48,"Technology ",0.3,"2021 - 2022",0,"2015 - 2016"
"1631","Chen Xueli ",70,"Healthcare ",0.3,"2020 - 2021",-0.6,"2021 - 2022"
"1632","Hui Lin Chit ",68,"Manufacturing ",0.3,"2017 - 2018",-0.8,"2015 - 2016"
"1633","Kagemasa Kozuki ",81,"Technology ",0.3,"2017 - 2018",-0.0999999999999999,"2021 - 2022"
"1634","Evgeny (Eugene) Shvidler ",58,"Energy ",0.3,"2020 - 2021",-0.3,"2021 - 2022"
"1635","Ana Maria Brescia Cafferata ",97,"Diversified ",0.3,"2016 - 2017",-0.5,"2015 - 2016"
"1636","Chung Yong-jin ",53,"Fashion & Retail ",0.3,"2017 - 2018",-0.4,"2021 - 2022"
"1637","Mohammed Dewji ",46,"Diversified ",0.3,"2016 - 2017",-0.2,"2015 - 2016"
"1638","Youssef Mansour ",76,"Diversified ",0.3,"2017 - 2018",-1.2,"2015 - 2016"
"1639","Radhe Shyam Agarwal ",77,"Fashion & Retail ",0.3,"2021 - 2022",-0.0999999999999999,"2015 - 2016"
"1640","Cheng Antares ",64,"Food & Beverage ",0.3,"2021 - 2022",0,"2015 - 2016"
"1641","Weili Dai ",60,"Technology ",0.3,"2021 - 2022",0,"2015 - 2016"
"1642","Radhe Shyam Goenka ",76,"Fashion & Retail ",0.3,"2021 - 2022",-0.0999999999999999,"2015 - 2016"
"1643","Eugene Wu ",76,"Finance & Investments ",0.3,"2021 - 2022",0,"2015 - 2016"
"1644","George Yancopoulos ",62,"Healthcare ",0.3,"2021 - 2022",0,"2015 - 2016"
"1645","Alexandra Andresen ",25,"Diversified ",0.3,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1646","Katharina Andresen ",26,"Diversified ",0.3,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1647","Nobutoshi Shimamura ",96,"Fashion & Retail ",0.3,"2016 - 2017",-0.0999999999999999,"2017 - 2018"
"1648","Bernd Freier ",65,"Fashion & Retail ",0.3,"2017 - 2018",-0.8,"2016 - 2017"
"1649","Airat Shaimiev ",60,"Energy ",0.3,"2020 - 2021",-0.2,"2021 - 2022"
"1650","Richard Li ",55,"Telecom ",0.2,"2021 - 2022",-0.199999999999999,"2016 - 2017"
"1651","Margot Birmingham Perot ",88,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1652","Traudl Engelhorn & family ",95,"Healthcare ",0.2,"2020 - 2021",0,"2015 - 2016"
"1653","Arnon Milchan ",77,"Media & Entertainment ",0.2,"2016 - 2017",-1.7,"2017 - 2018"
"1654","John Middleton ",67,"Food & Beverage ",0.2,"2017 - 2018",0,"2015 - 2016"
"1655","Eva Maria Bucher-Haefner ",65,"Technology ",0.2,"2016 - 2017",-0.4,"2015 - 2016"
"1656","John Paul DeJoria ",77,"Fashion & Retail ",0.2,"2016 - 2017",-0.4,"2020 - 2021"
"1657","Sean Parker ",42,"Technology ",0.2,"2016 - 2017",-0.1,"2015 - 2016"
"1658","Brad Kelley ",65,"Real Estate ",0.2,"2020 - 2021",0,"2016 - 2017"
"1659","C. Dean Metropoulos ",75,"Food & Beverage ",0.2,"2020 - 2021",0,"2016 - 2017"
"1660","John Pritzker ",68,"Finance & Investments ",0.2,"2021 - 2022",-0.1,"2020 - 2021"
"1661","Raj Kumar & Kishin RK ",67,"Real Estate ",0.2,"2017 - 2018",0,"2016 - 2017"
"1662","Oprah Winfrey ",68,"Media & Entertainment ",0.2,"2020 - 2021",-0.3,"2017 - 2018"
"1663","Suhail Bahwan ",83,"Diversified ",0.2,"2021 - 2022",-0.2,"2017 - 2018"
"1664","Charles Bronfman ",90,"Food & Beverage ",0.2,"2020 - 2021",0,"2015 - 2016"
"1665","Leon G. Cooperman ",78,"Finance & Investments ",0.2,"2017 - 2018",-0.7,"2020 - 2021"
"1666","Maria Del Pino ",66,"Construction & Engineering ",0.2,"2021 - 2022",0,"2015 - 2016"
"1667","Mohamed Mansour ",74,"Diversified ",0.2,"2016 - 2017",-1.5,"2015 - 2016"
"1668","Stewart Rahr ",76,"Healthcare ",0.2,"2016 - 2017",0,"2015 - 2016"
"1669","Richard Chandler ",63,"Finance & Investments ",0.2,"2017 - 2018",-0.8,"2016 - 2017"
"1670","Noam Gottesman ",60,"Finance & Investments ",0.2,"2017 - 2018",-0.3,"2020 - 2021"
"1671","Lin Chang Su-O ",81,"Real Estate ",0.2,"2020 - 2021",0,"2015 - 2016"
"1672","Craig McCaw ",72,"Telecom ",0.2,"2021 - 2022",-0.1,"2015 - 2016"
"1673","Jonathan Nelson ",65,"Finance & Investments ",0.2,"2021 - 2022",-0.3,"2015 - 2016"
"1674","Arvind Tiku ",52,"Energy ",0.2,"2021 - 2022",-0.2,"2020 - 2021"
"1675","Fred Ehrsam ",33,"Finance & Investments ",0.2,"2021 - 2022",0,"2015 - 2016"
"1676","Thomas Lee ",78,"Finance & Investments ",0.2,"2016 - 2017",0,"2015 - 2016"
"1677","Charlotte Colket Weber ",79,"Food & Beverage ",0.2,"2015 - 2016",-0.0999999999999999,"2017 - 2018"
"1678","Norbert Dentressangle ",67,"Logistics ",0.2,"2020 - 2021",0,"2015 - 2016"
"1679","Billy Joe (Red) McCombs ",94,"Diversified ",0.2,"2016 - 2017",-0.4,"2015 - 2016"
"1680","Jorge Perez ",72,"Real Estate ",0.2,"2017 - 2018",-0.5,"2016 - 2017"
"1681","Mori Arkin ",69,"Healthcare ",0.2,"2021 - 2022",0,"2015 - 2016"
"1682","Clifford Asness ",55,"Finance & Investments ",0.2,"2021 - 2022",-1.2,"2020 - 2021"
"1683","Louis Bacon ",65,"Finance & Investments ",0.2,"2021 - 2022",-0.2,"2017 - 2018"
"1684","Gao Yunfeng ",55,"Manufacturing ",0.2,"2021 - 2022",0,"2015 - 2016"
"1685","Archie Hwang ",69,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1686","Theodore Leonsis ",66,"Sports ",0.2,"2021 - 2022",0,"2015 - 2016"
"1687","Li Denghai ",72,"Food & Beverage ",0.2,"2021 - 2022",0,"2015 - 2016"
"1688","Terence (Terry) Matthews ",79,"Telecom ",0.2,"2021 - 2022",0,"2015 - 2016"
"1689","Sheryl Sandberg ",52,"Technology ",0.2,"2017 - 2018",-0.0999999999999999,"2021 - 2022"
"1690","Ahmet Calik ",64,"Diversified ",0.2,"2017 - 2018",-0.0999999999999999,"2015 - 2016"
"1691","Timothy Headington ",71,"Energy ",0.2,"2016 - 2017",-1,"2015 - 2016"
"1692","Massimo Moratti ",76,"Energy ",0.2,"2020 - 2021",-0.1,"2021 - 2022"
"1693","Prachak Tangkaravakoon ",78,"Manufacturing ",0.2,"2020 - 2021",-0.2,"2021 - 2022"
"1694","Murdaya Poo ",81,"Diversified ",0.2,"2016 - 2017",-0.1,"2017 - 2018"
"1695","Shum Chiu Hung & family ",52,"Real Estate ",0.2,"2020 - 2021",-1.4,"2021 - 2022"
"1696","Yang Erzhu ",71,"Real Estate ",0.2,"2020 - 2021",-0.5,"2021 - 2022"
"1697","David Walentas ",83,"Real Estate ",0.2,"2015 - 2016",-0.0999999999999996,"2020 - 2021"
"1698","Amy Wyss ",51,"Healthcare ",0.2,"2017 - 2018",-0.0999999999999999,"2015 - 2016"
"1699","Joao Roberto Marinho ",68,"Media & Entertainment ",0.2,"2021 - 2022",-3.9,"2015 - 2016"
"1700","Jose Roberto Marinho ",66,"Media & Entertainment ",0.2,"2021 - 2022",-3.9,"2015 - 2016"
"1701","Roberto Irineu Marinho ",74,"Media & Entertainment ",0.2,"2021 - 2022",-3.9,"2015 - 2016"
"1702","David Nahmad ",74,"Fashion & Retail ",0.2,"2020 - 2021",0,"2015 - 2016"
"1703","Shi Wen-long ",94,"Manufacturing ",0.2,"2020 - 2021",0,"2015 - 2016"
"1704","Thaksin Shinawatra ",72,"Finance & Investments ",0.2,"2020 - 2021",-0.0999999999999999,"2015 - 2016"
"1705","Todd Wagner ",61,"Media & Entertainment ",0.2,"2016 - 2017",0,"2015 - 2016"
"1706","Kanye West ",44,"Fashion & Retail ",0.2,"2021 - 2022",0,"2015 - 2016"
"1707","Roberto Hernandez Ramirez ",80,"Finance & Investments ",0.2,"2020 - 2021",-0.1,"2015 - 2016"
"1708","David Lichtenstein ",60,"Real Estate ",0.2,"2017 - 2018",0,"2015 - 2016"
"1709","Romano Minozzi ",87,"Diversified ",0.2,"2020 - 2021",0,"2015 - 2016"
"1710","G. Rajendran ",79,"Fashion & Retail ",0.2,"2021 - 2022",0,"2015 - 2016"
"1711","Jerry Reinsdorf ",86,"Sports ",0.2,"2020 - 2021",0,"2015 - 2016"
"1712","Manas Chiaravanond ",64,"Diversified ",0.2,"2021 - 2022",0,"2015 - 2016"
"1713","Phongthep Chiaravanont ",70,"Diversified ",0.2,"2021 - 2022",0,"2015 - 2016"
"1714","Ivan Chrenko ",54,"Real Estate ",0.2,"2017 - 2018",0,"2015 - 2016"
"1715","Huh Jae-myung ",50,"Manufacturing ",0.2,"2021 - 2022",0,"2015 - 2016"
"1716","James Leininger ",77,"Healthcare ",0.2,"2021 - 2022",0,"2015 - 2016"
"1717","Nelson Peltz ",79,"Finance & Investments ",0.2,"2017 - 2018",-0.5,"2015 - 2016"
"1718","Vonnarat Tangkaravakoon ",50,"Manufacturing ",0.2,"2020 - 2021",0,"2015 - 2016"
"1719","Gordon Wu ",86,"Real Estate ",0.2,"2017 - 2018",-0.2,"2021 - 2022"
"1720","Zhu Yiming ",49,"Technology ",0.2,"2020 - 2021",0,"2015 - 2016"
"1721","Gary Fegel ",48,"Metals & Mining ",0.2,"2017 - 2018",0,"2015 - 2016"
"1722","Duncan MacMillan ",84,"Finance & Investments ",0.2,"2020 - 2021",0,"2015 - 2016"
"1723","Ryan Smith ",43,"Technology ",0.2,"2020 - 2021",0,"2015 - 2016"
"1724","Peter Sperling ",62,"Service ",0.2,"2016 - 2017",-0.1,"2015 - 2016"
"1725","Yu Peidi ",62,"Real Estate ",0.2,"2017 - 2018",-0.0999999999999999,"2020 - 2021"
"1726","Binod Chaudhary ",66,"Diversified ",0.2,"2016 - 2017",-0.2,"2015 - 2016"
"1727","Eduardo Costantini ",75,"Real Estate ",0.2,"2017 - 2018",0,"2015 - 2016"
"1728","Egon Durban ",48,"Finance & Investments ",0.2,"2021 - 2022",0,"2015 - 2016"
"1729","Kenneth Hao ",53,"Finance & Investments ",0.2,"2021 - 2022",0,"2015 - 2016"
"1730","Conni Jonsson ",61,"Finance & Investments ",0.2,"2021 - 2022",0,"2015 - 2016"
"1731","Ke Xiping & family ",61,"Diversified ",0.2,"2020 - 2021",0,"2015 - 2016"
"1732","Seth Klarman ",64,"Finance & Investments ",0.2,"2016 - 2017",-0.2,"2015 - 2016"
"1733","Hemendra Kothari ",75,"Finance & Investments ",0.2,"2021 - 2022",0,"2015 - 2016"
"1734","Alan Miller & family ",84,"Healthcare ",0.2,"2021 - 2022",0,"2015 - 2016"
"1735","Greg Mondre ",47,"Finance & Investments ",0.2,"2021 - 2022",0,"2015 - 2016"
"1736","Kentaro Ogawa ",73,"Food & Beverage ",0.2,"2017 - 2018",-0.1,"2021 - 2022"
"1737","Andreas Pohl ",57,"Finance & Investments ",0.2,"2020 - 2021",0,"2015 - 2016"
"1738","Reinfried Pohl, Jr. ",62,"Finance & Investments ",0.2,"2020 - 2021",0,"2015 - 2016"
"1739","Wilma Tisch ",94,"Finance & Investments ",0.2,"2020 - 2021",-0.2,"2015 - 2016"
"1740","Elena Baturina ",59,"Construction & Engineering ",0.2,"2017 - 2018",-0.1,"2016 - 2017"
"1741","Chen Tianqiao ",48,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1742","Diego Della Valle ",68,"Fashion & Retail ",0.2,"2017 - 2018",-0.2,"2015 - 2016"
"1743","Du Shuanghua ",57,"Manufacturing ",0.2,"2020 - 2021",0,"2015 - 2016"
"1744","Simon Nixon ",54,"Technology ",0.2,"2020 - 2021",0,"2015 - 2016"
"1745","Ranjan Pai ",49,"Service ",0.2,"2017 - 2018",-0.2,"2020 - 2021"
"1746","Wang Fuji ",64,"Healthcare ",0.2,"2021 - 2022",0,"2015 - 2016"
"1747","Binny Bansal ",39,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1748","Edouard Carmignac ",74,"Finance & Investments ",0.2,"2017 - 2018",0,"2015 - 2016"
"1749","Jeffrey Cheah ",77,"Real Estate ",0.2,"2020 - 2021",0,"2015 - 2016"
"1750","Richard Fortin ",73,"Fashion & Retail ",0.2,"2021 - 2022",0,"2015 - 2016"
"1751","Simona Giorgetta ",44,"Construction & Engineering ",0.2,"2021 - 2022",0,"2015 - 2016"
"1752","Hu Rongda & family ",63,"Manufacturing ",0.2,"2021 - 2022",-0.0999999999999999,"2020 - 2021"
"1753","Mitchell Jacobson ",71,"Service ",0.2,"2021 - 2022",-0.2,"2017 - 2018"
"1754","Michael Krasny ",68,"Technology ",0.2,"2016 - 2017",-0.1,"2015 - 2016"
"1755","Lee Ho-jin ",59,"Diversified ",0.2,"2017 - 2018",-0.3,"2020 - 2021"
"1756","Bernard Lewis & family ",96,"Fashion & Retail ",0.2,"2020 - 2021",0,"2015 - 2016"
"1757","Forrest Preston ",89,"Healthcare ",0.2,"2021 - 2022",-0.3,"2015 - 2016"
"1758","Thomas Sandell ",61,"Finance & Investments ",0.2,"2017 - 2018",0,"2015 - 2016"
"1759","Albert Shigaboutdinov ",69,"Diversified ",0.2,"2020 - 2021",0,"2015 - 2016"
"1760","Rustem Sulteev ",68,"Energy ",0.2,"2020 - 2021",0,"2015 - 2016"
"1761","Sehat Sutardja ",60,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1762","Jim Thompson ",82,"Logistics ",0.2,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1763","Joop van den Ende ",80,"Media & Entertainment ",0.2,"2020 - 2021",-0.6,"2015 - 2016"
"1764","Sekar Vembu ",50,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1765","Dan Wilks ",65,"Energy ",0.2,"2021 - 2022",-0.0999999999999999,"2015 - 2016"
"1766","Robert Fisher ",68,"Fashion & Retail ",0.2,"2017 - 2018",-0.7,"2021 - 2022"
"1767","William Fisher ",65,"Fashion & Retail ",0.2,"2017 - 2018",-0.9,"2021 - 2022"
"1768","J. Christopher Flowers ",64,"Finance & Investments ",0.2,"2016 - 2017",-0.4,"2015 - 2016"
"1769","Huang Hongyun & family ",55,"Real Estate ",0.2,"2020 - 2021",-0.2,"2021 - 2022"
"1770","Andrei Kosogov ",61,"Energy ",0.2,"2020 - 2021",-0.2,"2021 - 2022"
"1771","George Pedersen ",86,"Manufacturing ",0.2,"2021 - 2022",0,"2015 - 2016"
"1772","Radik Shaimiev ",57,"Energy ",0.2,"2020 - 2021",-0.1,"2021 - 2022"
"1773","Laurie Tisch ",71,"Diversified ",0.2,"2020 - 2021",0,"2015 - 2016"
"1774","Steven Tisch ",73,"Diversified ",0.2,"2020 - 2021",0,"2015 - 2016"
"1775","Thongma Vijitpongpun ",64,"Real Estate ",0.2,"2017 - 2018",-0.4,"2015 - 2016"
"1776","J. Wayne Weaver ",86,"Diversified ",0.2,"2021 - 2022",0,"2015 - 2016"
"1777","Aydin Dogan ",85,"Media & Entertainment ",0.2,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1778","Donald Friese ",81,"Manufacturing ",0.2,"2016 - 2017",0,"2015 - 2016"
"1779","Soichiro Fukutake ",76,"Service ",0.2,"2017 - 2018",0,"2015 - 2016"
"1780","Jonas Kamprad ",56,"Finance & Investments ",0.2,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1781","Mathias Kamprad ",52,"Finance & Investments ",0.2,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1782","Peter Kamprad ",58,"Finance & Investments ",0.2,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1783","Mehmet Sinan Tara ",63,"Construction & Engineering ",0.2,"2016 - 2017",-0.2,"2015 - 2016"
"1784","Zhang Cheng Fei ",54,"Manufacturing ",0.2,"2017 - 2018",-0.5,"2021 - 2022"
"1785","Rafael Del Pino ",63,"Construction & Engineering ",0.2,"2021 - 2022",0,"2015 - 2016"
"1786","Anthony Pritzker ",61,"Service ",0.2,"2016 - 2017",-0.2,"2015 - 2016"
"1787","Valentin Kipyatkov ",45,"Technology ",0.2,"2021 - 2022",0,"2015 - 2016"
"1788","Tang Yiu ",88,"Fashion & Retail ",0.2,"2021 - 2022",-0.8,"2015 - 2016"
"1789","T.Y. Tsai ",69,"Finance & Investments ",0.2,"2020 - 2021",-0.1,"2015 - 2016"
"1790","David Murdock ",98,"Food & Beverage ",0.2,"2021 - 2022",-0.6,"2017 - 2018"
"1791","Ted Turner ",83,"Media & Entertainment ",0.2,"2020 - 2021",-0.0999999999999996,"2017 - 2018"
"1792","Stanley Hubbard ",88,"Media & Entertainment ",0.2,"2016 - 2017",-0.1,"2020 - 2021"
"1793","Janice McNair ",85,"Sports ",0.100000000000001,"2021 - 2022",0,"2015 - 2016"
"1794","J.B. Pritzker ",57,"Finance & Investments ",0.1,"2020 - 2021",0,"2015 - 2016"
"1795","Julia Thiele-Schuerhoff ",50,"Manufacturing ",0.1,"2021 - 2022",0,"2015 - 2016"
